Name,Start Date,End Date,Formatted Address,Description
XConf Europe 2025 - Madrid,2025-09-18T07:00:00Z,2025-09-18T15:30:00Z,"Calle de Salamanca, 28020 Madrid, Spain",Sourced from predicthq.com - A tech conference created by technologists for technologists.
"AAAI/ACM Conference on AI, Ethics, and Society",2025-10-20T07:00:00Z,2025-10-22T16:00:00Z,"P.º de la Castellana, 259, Fuencarral-El Pardo, 28046 Madrid, Spain",Sourced from predicthq.com
AIOTI Days 2025,2025-09-22T07:00:00Z,2025-09-23T14:30:00Z,"Calle de Larra, 28004 Madrid, Spain","Sourced from predicthq.com - Cities 5.0: Harnessing AI, Continuum and Virtual Twins for the Future of Urban Living"
Private Equity Conference,2025-10-03T06:00:00Z,2025-10-03T16:00:00Z,"C. de Sevilla, 3, Centro, 28014 Madrid, Spain",Sourced from predicthq.com
V Jornada de Innovación Autonómica y Local de DISRUPTORES - EL ESPAÑOL,2025-10-23T07:00:00Z,2025-10-23T12:00:00Z,"Calle de Cervantes, 42, 28014 Madrid, Spain",Sourced from predicthq.com - El mayor encuentro de la innovación autonómica y local en España.
#TRGx,2025-10-23T13:30:00Z,2025-10-25T15:00:00Z,"Calle Cifuentes, 5, 28021 Madrid, Spain","Sourced from predicthq.com - Un punto de encuentro para gente que «hace cosas» alrededor del software, la innovación tecnológica, los negocios digitales e Internet."
Innoday: Salud digital & Biotech,2025-09-11T07:30:00Z,2025-09-11T12:00:00Z,"Gran Vía, 26, 26, Centro, 28013 Madrid, Spain","Sourced from predicthq.com - Asiste al tercer Innoday en torno a las novedades de los sectores de la salud, la biotecnología, la farmacia o la innovación."
Feelant Impact Summit,2025-10-09T07:00:00Z,2025-10-09T16:00:00Z,"P.º del Prado, 36, Centro, 28014 Madrid, Spain",Sourced from predicthq.com - El evento que facilitará el contacto entre Fundaciones y Empresas del sector de impacto en salud y RSC
Workplace Design Conference - Madrid 2025,2025-09-24T07:00:00Z,2025-09-24T12:30:00Z,"Calle de Méndez Álvaro, 28045 Madrid, Spain","Sourced from predicthq.com - Durante años, las empresas se han obsesionado con el cómo, el cuándo y el dónde. Pero la pregunta es: ¿para qué va la gente a la oficina?"
ENTRADA PRESENCIAL - III CONGRESO NACIONAL NETWORKING INCLUSIVO Y ACCESIBLE,2025-10-09T07:30:00Z,2025-10-09T23:30:00Z,"C. de Emilio Vargas, 3, 5, Cdad. Lineal, 28043 Madrid, Spain",Sourced from predicthq.com - Da voz a la diferencia. Por una salud mental que nos incluya a todas las personas. III Congreso Nacional Networking Inclusivo y Accesible.
PPW Europe Conference - Madrid 2025,2025-10-15T11:00:00Z,2025-10-17T11:00:00Z,"Calle de O'Donnell, 53
Salamanca
28007 Madrid
Spain",Sourced from predicthq.com - Join us in Madrid for the PPW Europe Conference 2025 - the ultimate event for networking and learning in the PropTech industry!
"Coloquio+cocktail:La simbiosis entre arquitectura, artesanía e interiorismo",2025-10-08T16:00:00Z,2025-10-08T18:30:00Z,"Calle de Quintiliano, 28002 Madrid, Spain","Sourced from predicthq.com - Ven y únete a nosotros en un Coloquio+cocktail donde exploraremos la fascinante simbiosis entre arquitectura, artesanía e interiorismo."
